attribute_name,group,description
borrower_annual_income_20,borrower,"Annual Income attribute for borrower, instance 20."
borrower_credit_score_20,borrower,"Credit Score attribute for borrower, instance 20."
borrower_marital_status_20,borrower,"Marital Status attribute for borrower, instance 20."
borrower_number_of_dependents_20,borrower,"Number Of Dependents attribute for borrower, instance 20."
borrower_residency_status_20,borrower,"Residency Status attribute for borrower, instance 20."
loan_id_20,loan,"Id attribute for loan, instance 20."
loan_type_20,loan,"Type attribute for loan, instance 20."
loan_amount_20,loan,"Amount attribute for loan, instance 20."
loan_term_years_20,loan,"Term Years attribute for loan, instance 20."
loan_interest_rate_20,loan,"Interest Rate attribute for loan, instance 20."
loan_origination_date_20,loan,"Origination Date attribute for loan, instance 20."
loan_maturity_date_20,loan,"Maturity Date attribute for loan, instance 20."
loan_status_20,loan,"Status attribute for loan, instance 20."
loan_ltv_ratio_20,loan,"Ltv Ratio attribute for loan, instance 20."
loan_dti_ratio_20,loan,"Dti Ratio attribute for loan, instance 20."
loan_amortization_type_20,loan,"Amortization Type attribute for loan, instance 20."
property_id_20,property,"Id attribute for property, instance 20."
property_address_line1_20,property,"Address Line1 attribute for property, instance 20."
property_address_line2_20,property,"Address Line2 attribute for property, instance 20."
property_city_20,property,"City attribute for property, instance 20."
property_state_20,property,"State attribute for property, instance 20."
property_postal_code_20,property,"Postal Code attribute for property, instance 20."
property_country_20,property,"Country attribute for property, instance 20."
property_property_type_20,property,"Property Type attribute for property, instance 20."
property_year_built_20,property,"Year Built attribute for property, instance 20."
property_purchase_price_20,property,"Purchase Price attribute for property, instance 20."
property_appraised_value_20,property,"Appraised Value attribute for property, instance 20."
property_square_feet_20,property,"Square Feet attribute for property, instance 20."
property_lot_size_20,property,"Lot Size attribute for property, instance 20."
property_num_bedrooms_20,property,"Num Bedrooms attribute for property, instance 20."
property_num_bathrooms_20,property,"Num Bathrooms attribute for property, instance 20."
payment_id_20,payment,"Id attribute for payment, instance 20."
payment_due_date_20,payment,"Due Date attribute for payment, instance 20."
payment_amount_due_20,payment,"Amount Due attribute for payment, instance 20."
payment_amount_paid_20,payment,"Amount Paid attribute for payment, instance 20."
payment_payment_date_20,payment,"Payment Date attribute for payment, instance 20."
payment_payment_method_20,payment,"Payment Method attribute for payment, instance 20."
payment_status_20,payment,"Status attribute for payment, instance 20."
payment_late_fee_20,payment,"Late Fee attribute for payment, instance 20."
payment_escrow_amount_20,payment,"Escrow Amount attribute for payment, instance 20."
escrow_id_20,escrow,"Id attribute for escrow, instance 20."
escrow_type_20,escrow,"Type attribute for escrow, instance 20."
escrow_balance_20,escrow,"Balance attribute for escrow, instance 20."
escrow_taxes_due_20,escrow,"Taxes Due attribute for escrow, instance 20."
escrow_insurance_due_20,escrow,"Insurance Due attribute for escrow, instance 20."
escrow_last_payment_date_20,escrow,"Last Payment Date attribute for escrow, instance 20."
escrow_next_payment_due_20,escrow,"Next Payment Due attribute for escrow, instance 20."
regulatory_hmda_reporting_flag_20,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 20."
regulatory_compliance_status_20,regulatory,"Compliance Status attribute for regulatory, instance 20."
regulatory_regulator_notes_20,regulatory,"Regulator Notes attribute for regulatory, instance 20."
regulatory_fair_lending_score_20,regulatory,"Fair Lending Score attribute for regulatory, instance 20."
regulatory_audit_status_20,regulatory,"Audit Status attribute for regulatory, instance 20."
borrower_id_21,borrower,"Id attribute for borrower, instance 21."
borrower_first_name_21,borrower,"First Name attribute for borrower, instance 21."
borrower_last_name_21,borrower,"Last Name attribute for borrower, instance 21."
borrower_date_of_birth_21,borrower,"Date Of Birth attribute for borrower, instance 21."
borrower_ssn_21,borrower,"Ssn attribute for borrower, instance 21."
borrower_employment_status_21,borrower,"Employment Status attribute for borrower, instance 21."
borrower_annual_income_21,borrower,"Annual Income attribute for borrower, instance 21."
borrower_credit_score_21,borrower,"Credit Score attribute for borrower, instance 21."
borrower_marital_status_21,borrower,"Marital Status attribute for borrower, instance 21."
borrower_number_of_dependents_21,borrower,"Number Of Dependents attribute for borrower, instance 21."
borrower_residency_status_21,borrower,"Residency Status attribute for borrower, instance 21."
loan_id_21,loan,"Id attribute for loan, instance 21."
loan_type_21,loan,"Type attribute for loan, instance 21."
loan_amount_21,loan,"Amount attribute for loan, instance 21."
loan_term_years_21,loan,"Term Years attribute for loan, instance 21."
loan_interest_rate_21,loan,"Interest Rate attribute for loan, instance 21."
loan_origination_date_21,loan,"Origination Date attribute for loan, instance 21."
loan_maturity_date_21,loan,"Maturity Date attribute for loan, instance 21."
loan_status_21,loan,"Status attribute for loan, instance 21."
loan_ltv_ratio_21,loan,"Ltv Ratio attribute for loan, instance 21."
loan_dti_ratio_21,loan,"Dti Ratio attribute for loan, instance 21."
loan_amortization_type_21,loan,"Amortization Type attribute for loan, instance 21."
property_id_21,property,"Id attribute for property, instance 21."
property_address_line1_21,property,"Address Line1 attribute for property, instance 21."
property_address_line2_21,property,"Address Line2 attribute for property, instance 21."
property_city_21,property,"City attribute for property, instance 21."
property_state_21,property,"State attribute for property, instance 21."
property_postal_code_21,property,"Postal Code attribute for property, instance 21."
property_country_21,property,"Country attribute for property, instance 21."
property_property_type_21,property,"Property Type attribute for property, instance 21."
property_year_built_21,property,"Year Built attribute for property, instance 21."
property_purchase_price_21,property,"Purchase Price attribute for property, instance 21."
property_appraised_value_21,property,"Appraised Value attribute for property, instance 21."
property_square_feet_21,property,"Square Feet attribute for property, instance 21."
property_lot_size_21,property,"Lot Size attribute for property, instance 21."
property_num_bedrooms_21,property,"Num Bedrooms attribute for property, instance 21."
property_num_bathrooms_21,property,"Num Bathrooms attribute for property, instance 21."
payment_id_21,payment,"Id attribute for payment, instance 21."
payment_due_date_21,payment,"Due Date attribute for payment, instance 21."
payment_amount_due_21,payment,"Amount Due attribute for payment, instance 21."
payment_amount_paid_21,payment,"Amount Paid attribute for payment, instance 21."
payment_payment_date_21,payment,"Payment Date attribute for payment, instance 21."
payment_payment_method_21,payment,"Payment Method attribute for payment, instance 21."
payment_status_21,payment,"Status attribute for payment, instance 21."
payment_late_fee_21,payment,"Late Fee attribute for payment, instance 21."
payment_escrow_amount_21,payment,"Escrow Amount attribute for payment, instance 21."
escrow_id_21,escrow,"Id attribute for escrow, instance 21."
escrow_type_21,escrow,"Type attribute for escrow, instance 21."
escrow_balance_21,escrow,"Balance attribute for escrow, instance 21."
escrow_taxes_due_21,escrow,"Taxes Due attribute for escrow, instance 21."
escrow_insurance_due_21,escrow,"Insurance Due attribute for escrow, instance 21."
escrow_last_payment_date_21,escrow,"Last Payment Date attribute for escrow, instance 21."
escrow_next_payment_due_21,escrow,"Next Payment Due attribute for escrow, instance 21."
regulatory_hmda_reporting_flag_21,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 21."
regulatory_compliance_status_21,regulatory,"Compliance Status attribute for regulatory, instance 21."
regulatory_regulator_notes_21,regulatory,"Regulator Notes attribute for regulatory, instance 21."
regulatory_fair_lending_score_21,regulatory,"Fair Lending Score attribute for regulatory, instance 21."
regulatory_audit_status_21,regulatory,"Audit Status attribute for regulatory, instance 21."
borrower_id_22,borrower,"Id attribute for borrower, instance 22."
borrower_first_name_22,borrower,"First Name attribute for borrower, instance 22."
borrower_last_name_22,borrower,"Last Name attribute for borrower, instance 22."
borrower_date_of_birth_22,borrower,"Date Of Birth attribute for borrower, instance 22."
borrower_ssn_22,borrower,"Ssn attribute for borrower, instance 22."
borrower_employment_status_22,borrower,"Employment Status attribute for borrower, instance 22."
borrower_annual_income_22,borrower,"Annual Income attribute for borrower, instance 22."
borrower_credit_score_22,borrower,"Credit Score attribute for borrower, instance 22."
borrower_marital_status_22,borrower,"Marital Status attribute for borrower, instance 22."
borrower_number_of_dependents_22,borrower,"Number Of Dependents attribute for borrower, instance 22."
borrower_residency_status_22,borrower,"Residency Status attribute for borrower, instance 22."
loan_id_22,loan,"Id attribute for loan, instance 22."
loan_type_22,loan,"Type attribute for loan, instance 22."
loan_amount_22,loan,"Amount attribute for loan, instance 22."
loan_term_years_22,loan,"Term Years attribute for loan, instance 22."
loan_interest_rate_22,loan,"Interest Rate attribute for loan, instance 22."
loan_origination_date_22,loan,"Origination Date attribute for loan, instance 22."
loan_maturity_date_22,loan,"Maturity Date attribute for loan, instance 22."
loan_status_22,loan,"Status attribute for loan, instance 22."
loan_ltv_ratio_22,loan,"Ltv Ratio attribute for loan, instance 22."
loan_dti_ratio_22,loan,"Dti Ratio attribute for loan, instance 22."
loan_amortization_type_22,loan,"Amortization Type attribute for loan, instance 22."
property_id_22,property,"Id attribute for property, instance 22."
property_address_line1_22,property,"Address Line1 attribute for property, instance 22."
property_address_line2_22,property,"Address Line2 attribute for property, instance 22."
property_city_22,property,"City attribute for property, instance 22."
property_state_22,property,"State attribute for property, instance 22."
property_postal_code_22,property,"Postal Code attribute for property, instance 22."
property_country_22,property,"Country attribute for property, instance 22."
property_property_type_22,property,"Property Type attribute for property, instance 22."
property_year_built_22,property,"Year Built attribute for property, instance 22."
property_purchase_price_22,property,"Purchase Price attribute for property, instance 22."
property_appraised_value_22,property,"Appraised Value attribute for property, instance 22."
property_square_feet_22,property,"Square Feet attribute for property, instance 22."
property_lot_size_22,property,"Lot Size attribute for property, instance 22."
property_num_bedrooms_22,property,"Num Bedrooms attribute for property, instance 22."
property_num_bathrooms_22,property,"Num Bathrooms attribute for property, instance 22."
payment_id_22,payment,"Id attribute for payment, instance 22."
payment_due_date_22,payment,"Due Date attribute for payment, instance 22."
payment_amount_due_22,payment,"Amount Due attribute for payment, instance 22."
payment_amount_paid_22,payment,"Amount Paid attribute for payment, instance 22."
payment_payment_date_22,payment,"Payment Date attribute for payment, instance 22."
payment_payment_method_22,payment,"Payment Method attribute for payment, instance 22."
payment_status_22,payment,"Status attribute for payment, instance 22."
payment_late_fee_22,payment,"Late Fee attribute for payment, instance 22."
payment_escrow_amount_22,payment,"Escrow Amount attribute for payment, instance 22."
escrow_id_22,escrow,"Id attribute for escrow, instance 22."
escrow_type_22,escrow,"Type attribute for escrow, instance 22."
escrow_balance_22,escrow,"Balance attribute for escrow, instance 22."
escrow_taxes_due_22,escrow,"Taxes Due attribute for escrow, instance 22."
escrow_insurance_due_22,escrow,"Insurance Due attribute for escrow, instance 22."
escrow_last_payment_date_22,escrow,"Last Payment Date attribute for escrow, instance 22."
escrow_next_payment_due_22,escrow,"Next Payment Due attribute for escrow, instance 22."
regulatory_hmda_reporting_flag_22,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 22."
regulatory_compliance_status_22,regulatory,"Compliance Status attribute for regulatory, instance 22."
regulatory_regulator_notes_22,regulatory,"Regulator Notes attribute for regulatory, instance 22."
regulatory_fair_lending_score_22,regulatory,"Fair Lending Score attribute for regulatory, instance 22."
regulatory_audit_status_22,regulatory,"Audit Status attribute for regulatory, instance 22."
borrower_id_23,borrower,"Id attribute for borrower, instance 23."
borrower_first_name_23,borrower,"First Name attribute for borrower, instance 23."
borrower_last_name_23,borrower,"Last Name attribute for borrower, instance 23."
borrower_date_of_birth_23,borrower,"Date Of Birth attribute for borrower, instance 23."
borrower_ssn_23,borrower,"Ssn attribute for borrower, instance 23."
borrower_employment_status_23,borrower,"Employment Status attribute for borrower, instance 23."
borrower_annual_income_23,borrower,"Annual Income attribute for borrower, instance 23."
borrower_credit_score_23,borrower,"Credit Score attribute for borrower, instance 23."
borrower_marital_status_23,borrower,"Marital Status attribute for borrower, instance 23."
borrower_number_of_dependents_23,borrower,"Number Of Dependents attribute for borrower, instance 23."
borrower_residency_status_23,borrower,"Residency Status attribute for borrower, instance 23."
loan_id_23,loan,"Id attribute for loan, instance 23."
loan_type_23,loan,"Type attribute for loan, instance 23."
loan_amount_23,loan,"Amount attribute for loan, instance 23."
loan_term_years_23,loan,"Term Years attribute for loan, instance 23."
loan_interest_rate_23,loan,"Interest Rate attribute for loan, instance 23."
loan_origination_date_23,loan,"Origination Date attribute for loan, instance 23."
loan_maturity_date_23,loan,"Maturity Date attribute for loan, instance 23."
loan_status_23,loan,"Status attribute for loan, instance 23."
loan_ltv_ratio_23,loan,"Ltv Ratio attribute for loan, instance 23."
loan_dti_ratio_23,loan,"Dti Ratio attribute for loan, instance 23."
loan_amortization_type_23,loan,"Amortization Type attribute for loan, instance 23."
property_id_23,property,"Id attribute for property, instance 23."
property_address_line1_23,property,"Address Line1 attribute for property, instance 23."
property_address_line2_23,property,"Address Line2 attribute for property, instance 23."
property_city_23,property,"City attribute for property, instance 23."
property_state_23,property,"State attribute for property, instance 23."
property_postal_code_23,property,"Postal Code attribute for property, instance 23."
property_country_23,property,"Country attribute for property, instance 23."
property_property_type_23,property,"Property Type attribute for property, instance 23."
property_year_built_23,property,"Year Built attribute for property, instance 23."
property_purchase_price_23,property,"Purchase Price attribute for property, instance 23."
property_appraised_value_23,property,"Appraised Value attribute for property, instance 23."
property_square_feet_23,property,"Square Feet attribute for property, instance 23."
property_lot_size_23,property,"Lot Size attribute for property, instance 23."
property_num_bedrooms_23,property,"Num Bedrooms attribute for property, instance 23."
property_num_bathrooms_23,property,"Num Bathrooms attribute for property, instance 23."
payment_id_23,payment,"Id attribute for payment, instance 23."
payment_due_date_23,payment,"Due Date attribute for payment, instance 23."
payment_amount_due_23,payment,"Amount Due attribute for payment, instance 23."
payment_amount_paid_23,payment,"Amount Paid attribute for payment, instance 23."
payment_payment_date_23,payment,"Payment Date attribute for payment, instance 23."
payment_payment_method_23,payment,"Payment Method attribute for payment, instance 23."
payment_status_23,payment,"Status attribute for payment, instance 23."
payment_late_fee_23,payment,"Late Fee attribute for payment, instance 23."
payment_escrow_amount_23,payment,"Escrow Amount attribute for payment, instance 23."
escrow_id_23,escrow,"Id attribute for escrow, instance 23."
escrow_type_23,escrow,"Type attribute for escrow, instance 23."
escrow_balance_23,escrow,"Balance attribute for escrow, instance 23."
escrow_taxes_due_23,escrow,"Taxes Due attribute for escrow, instance 23."
escrow_insurance_due_23,escrow,"Insurance Due attribute for escrow, instance 23."
escrow_last_payment_date_23,escrow,"Last Payment Date attribute for escrow, instance 23."
escrow_next_payment_due_23,escrow,"Next Payment Due attribute for escrow, instance 23."
regulatory_hmda_reporting_flag_23,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 23."
regulatory_compliance_status_23,regulatory,"Compliance Status attribute for regulatory, instance 23."
regulatory_regulator_notes_23,regulatory,"Regulator Notes attribute for regulatory, instance 23."
regulatory_fair_lending_score_23,regulatory,"Fair Lending Score attribute for regulatory, instance 23."
regulatory_audit_status_23,regulatory,"Audit Status attribute for regulatory, instance 23."
borrower_id_24,borrower,"Id attribute for borrower, instance 24."
borrower_first_name_24,borrower,"First Name attribute for borrower, instance 24."
borrower_last_name_24,borrower,"Last Name attribute for borrower, instance 24."
borrower_date_of_birth_24,borrower,"Date Of Birth attribute for borrower, instance 24."
borrower_ssn_24,borrower,"Ssn attribute for borrower, instance 24."
borrower_employment_status_24,borrower,"Employment Status attribute for borrower, instance 24."
borrower_annual_income_24,borrower,"Annual Income attribute for borrower, instance 24."
borrower_credit_score_24,borrower,"Credit Score attribute for borrower, instance 24."
borrower_marital_status_24,borrower,"Marital Status attribute for borrower, instance 24."
borrower_number_of_dependents_24,borrower,"Number Of Dependents attribute for borrower, instance 24."
borrower_residency_status_24,borrower,"Residency Status attribute for borrower, instance 24."
loan_id_24,loan,"Id attribute for loan, instance 24."
loan_type_24,loan,"Type attribute for loan, instance 24."
loan_amount_24,loan,"Amount attribute for loan, instance 24."
loan_term_years_24,loan,"Term Years attribute for loan, instance 24."
loan_interest_rate_24,loan,"Interest Rate attribute for loan, instance 24."
loan_origination_date_24,loan,"Origination Date attribute for loan, instance 24."
loan_maturity_date_24,loan,"Maturity Date attribute for loan, instance 24."
loan_status_24,loan,"Status attribute for loan, instance 24."
loan_ltv_ratio_24,loan,"Ltv Ratio attribute for loan, instance 24."
loan_dti_ratio_24,loan,"Dti Ratio attribute for loan, instance 24."
loan_amortization_type_24,loan,"Amortization Type attribute for loan, instance 24."
property_id_24,property,"Id attribute for property, instance 24."
property_address_line1_24,property,"Address Line1 attribute for property, instance 24."
property_address_line2_24,property,"Address Line2 attribute for property, instance 24."
property_city_24,property,"City attribute for property, instance 24."
property_state_24,property,"State attribute for property, instance 24."
property_postal_code_24,property,"Postal Code attribute for property, instance 24."
property_country_24,property,"Country attribute for property, instance 24."
property_property_type_24,property,"Property Type attribute for property, instance 24."
property_year_built_24,property,"Year Built attribute for property, instance 24."
property_purchase_price_24,property,"Purchase Price attribute for property, instance 24."
property_appraised_value_24,property,"Appraised Value attribute for property, instance 24."
property_square_feet_24,property,"Square Feet attribute for property, instance 24."
property_lot_size_24,property,"Lot Size attribute for property, instance 24."
property_num_bedrooms_24,property,"Num Bedrooms attribute for property, instance 24."
property_num_bathrooms_24,property,"Num Bathrooms attribute for property, instance 24."
payment_id_24,payment,"Id attribute for payment, instance 24."
payment_due_date_24,payment,"Due Date attribute for payment, instance 24."
payment_amount_due_24,payment,"Amount Due attribute for payment, instance 24."
payment_amount_paid_24,payment,"Amount Paid attribute for payment, instance 24."
payment_payment_date_24,payment,"Payment Date attribute for payment, instance 24."
payment_payment_method_24,payment,"Payment Method attribute for payment, instance 24."
payment_status_24,payment,"Status attribute for payment, instance 24."
payment_late_fee_24,payment,"Late Fee attribute for payment, instance 24."
payment_escrow_amount_24,payment,"Escrow Amount attribute for payment, instance 24."
escrow_id_24,escrow,"Id attribute for escrow, instance 24."
escrow_type_24,escrow,"Type attribute for escrow, instance 24."
escrow_balance_24,escrow,"Balance attribute for escrow, instance 24."
escrow_taxes_due_24,escrow,"Taxes Due attribute for escrow, instance 24."
escrow_insurance_due_24,escrow,"Insurance Due attribute for escrow, instance 24."
escrow_last_payment_date_24,escrow,"Last Payment Date attribute for escrow, instance 24."
escrow_next_payment_due_24,escrow,"Next Payment Due attribute for escrow, instance 24."
regulatory_hmda_reporting_flag_24,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 24."
regulatory_compliance_status_24,regulatory,"Compliance Status attribute for regulatory, instance 24."
regulatory_regulator_notes_24,regulatory,"Regulator Notes attribute for regulatory, instance 24."
regulatory_fair_lending_score_24,regulatory,"Fair Lending Score attribute for regulatory, instance 24."
regulatory_audit_status_24,regulatory,"Audit Status attribute for regulatory, instance 24."
borrower_id_25,borrower,"Id attribute for borrower, instance 25."
borrower_first_name_25,borrower,"First Name attribute for borrower, instance 25."
borrower_last_name_25,borrower,"Last Name attribute for borrower, instance 25."
borrower_date_of_birth_25,borrower,"Date Of Birth attribute for borrower, instance 25."
borrower_ssn_25,borrower,"Ssn attribute for borrower, instance 25."
borrower_employment_status_25,borrower,"Employment Status attribute for borrower, instance 25."
borrower_annual_income_25,borrower,"Annual Income attribute for borrower, instance 25."
borrower_credit_score_25,borrower,"Credit Score attribute for borrower, instance 25."
borrower_marital_status_25,borrower,"Marital Status attribute for borrower, instance 25."
borrower_number_of_dependents_25,borrower,"Number Of Dependents attribute for borrower, instance 25."
borrower_residency_status_25,borrower,"Residency Status attribute for borrower, instance 25."
loan_id_25,loan,"Id attribute for loan, instance 25."
loan_type_25,loan,"Type attribute for loan, instance 25."
loan_amount_25,loan,"Amount attribute for loan, instance 25."
loan_term_years_25,loan,"Term Years attribute for loan, instance 25."
loan_interest_rate_25,loan,"Interest Rate attribute for loan, instance 25."
loan_origination_date_25,loan,"Origination Date attribute for loan, instance 25."
loan_maturity_date_25,loan,"Maturity Date attribute for loan, instance 25."
loan_status_25,loan,"Status attribute for loan, instance 25."
loan_ltv_ratio_25,loan,"Ltv Ratio attribute for loan, instance 25."
loan_dti_ratio_25,loan,"Dti Ratio attribute for loan, instance 25."
loan_amortization_type_25,loan,"Amortization Type attribute for loan, instance 25."
property_id_25,property,"Id attribute for property, instance 25."
property_address_line1_25,property,"Address Line1 attribute for property, instance 25."
property_address_line2_25,property,"Address Line2 attribute for property, instance 25."
property_city_25,property,"City attribute for property, instance 25."
property_state_25,property,"State attribute for property, instance 25."
property_postal_code_25,property,"Postal Code attribute for property, instance 25."
property_country_25,property,"Country attribute for property, instance 25."
property_property_type_25,property,"Property Type attribute for property, instance 25."
property_year_built_25,property,"Year Built attribute for property, instance 25."
property_purchase_price_25,property,"Purchase Price attribute for property, instance 25."
property_appraised_value_25,property,"Appraised Value attribute for property, instance 25."
property_square_feet_25,property,"Square Feet attribute for property, instance 25."
property_lot_size_25,property,"Lot Size attribute for property, instance 25."
property_num_bedrooms_25,property,"Num Bedrooms attribute for property, instance 25."
property_num_bathrooms_25,property,"Num Bathrooms attribute for property, instance 25."
payment_id_25,payment,"Id attribute for payment, instance 25."
payment_due_date_25,payment,"Due Date attribute for payment, instance 25."
payment_amount_due_25,payment,"Amount Due attribute for payment, instance 25."
payment_amount_paid_25,payment,"Amount Paid attribute for payment, instance 25."
payment_payment_date_25,payment,"Payment Date attribute for payment, instance 25."
payment_payment_method_25,payment,"Payment Method attribute for payment, instance 25."
payment_status_25,payment,"Status attribute for payment, instance 25."
payment_late_fee_25,payment,"Late Fee attribute for payment, instance 25."
payment_escrow_amount_25,payment,"Escrow Amount attribute for payment, instance 25."
escrow_id_25,escrow,"Id attribute for escrow, instance 25."
escrow_type_25,escrow,"Type attribute for escrow, instance 25."
escrow_balance_25,escrow,"Balance attribute for escrow, instance 25."
escrow_taxes_due_25,escrow,"Taxes Due attribute for escrow, instance 25."
escrow_insurance_due_25,escrow,"Insurance Due attribute for escrow, instance 25."
escrow_last_payment_date_25,escrow,"Last Payment Date attribute for escrow, instance 25."
escrow_next_payment_due_25,escrow,"Next Payment Due attribute for escrow, instance 25."
regulatory_hmda_reporting_flag_25,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 25."
regulatory_compliance_status_25,regulatory,"Compliance Status attribute for regulatory, instance 25."
regulatory_regulator_notes_25,regulatory,"Regulator Notes attribute for regulatory, instance 25."
regulatory_fair_lending_score_25,regulatory,"Fair Lending Score attribute for regulatory, instance 25."
regulatory_audit_status_25,regulatory,"Audit Status attribute for regulatory, instance 25."
borrower_id_26,borrower,"Id attribute for borrower, instance 26."
borrower_first_name_26,borrower,"First Name attribute for borrower, instance 26."
borrower_last_name_26,borrower,"Last Name attribute for borrower, instance 26."
borrower_date_of_birth_26,borrower,"Date Of Birth attribute for borrower, instance 26."
borrower_ssn_26,borrower,"Ssn attribute for borrower, instance 26."
borrower_employment_status_26,borrower,"Employment Status attribute for borrower, instance 26."
borrower_annual_income_26,borrower,"Annual Income attribute for borrower, instance 26."
borrower_credit_score_26,borrower,"Credit Score attribute for borrower, instance 26."
borrower_marital_status_26,borrower,"Marital Status attribute for borrower, instance 26."
borrower_number_of_dependents_26,borrower,"Number Of Dependents attribute for borrower, instance 26."
borrower_residency_status_26,borrower,"Residency Status attribute for borrower, instance 26."
loan_id_26,loan,"Id attribute for loan, instance 26."
loan_type_26,loan,"Type attribute for loan, instance 26."
loan_amount_26,loan,"Amount attribute for loan, instance 26."
loan_term_years_26,loan,"Term Years attribute for loan, instance 26."
loan_interest_rate_26,loan,"Interest Rate attribute for loan, instance 26."
loan_origination_date_26,loan,"Origination Date attribute for loan, instance 26."
loan_maturity_date_26,loan,"Maturity Date attribute for loan, instance 26."
loan_status_26,loan,"Status attribute for loan, instance 26."
loan_ltv_ratio_26,loan,"Ltv Ratio attribute for loan, instance 26."
loan_dti_ratio_26,loan,"Dti Ratio attribute for loan, instance 26."
loan_amortization_type_26,loan,"Amortization Type attribute for loan, instance 26."
property_id_26,property,"Id attribute for property, instance 26."
property_address_line1_26,property,"Address Line1 attribute for property, instance 26."
property_address_line2_26,property,"Address Line2 attribute for property, instance 26."
property_city_26,property,"City attribute for property, instance 26."
property_state_26,property,"State attribute for property, instance 26."
property_postal_code_26,property,"Postal Code attribute for property, instance 26."
property_country_26,property,"Country attribute for property, instance 26."
property_property_type_26,property,"Property Type attribute for property, instance 26."
property_year_built_26,property,"Year Built attribute for property, instance 26."
property_purchase_price_26,property,"Purchase Price attribute for property, instance 26."
property_appraised_value_26,property,"Appraised Value attribute for property, instance 26."
property_square_feet_26,property,"Square Feet attribute for property, instance 26."
property_lot_size_26,property,"Lot Size attribute for property, instance 26."
property_num_bedrooms_26,property,"Num Bedrooms attribute for property, instance 26."
property_num_bathrooms_26,property,"Num Bathrooms attribute for property, instance 26."
payment_id_26,payment,"Id attribute for payment, instance 26."
payment_due_date_26,payment,"Due Date attribute for payment, instance 26."
payment_amount_due_26,payment,"Amount Due attribute for payment, instance 26."
payment_amount_paid_26,payment,"Amount Paid attribute for payment, instance 26."
payment_payment_date_26,payment,"Payment Date attribute for payment, instance 26."
payment_payment_method_26,payment,"Payment Method attribute for payment, instance 26."
payment_status_26,payment,"Status attribute for payment, instance 26."
payment_late_fee_26,payment,"Late Fee attribute for payment, instance 26."
payment_escrow_amount_26,payment,"Escrow Amount attribute for payment, instance 26."
escrow_id_26,escrow,"Id attribute for escrow, instance 26."
escrow_type_26,escrow,"Type attribute for escrow, instance 26."
escrow_balance_26,escrow,"Balance attribute for escrow, instance 26."
escrow_taxes_due_26,escrow,"Taxes Due attribute for escrow, instance 26."
escrow_insurance_due_26,escrow,"Insurance Due attribute for escrow, instance 26."
escrow_last_payment_date_26,escrow,"Last Payment Date attribute for escrow, instance 26."
escrow_next_payment_due_26,escrow,"Next Payment Due attribute for escrow, instance 26."
regulatory_hmda_reporting_flag_26,regulatory,"Hmda Reporting Flag attribute for regulatory, instance 26."
regulatory_compliance_status_26,regulatory,"Compliance Status attribute for regulatory, instance 26."
regulatory_regulator_notes_26,regulatory,"Regulator Notes attribute for regulatory, instance 26."
regulatory_fair_lending_score_26,regulatory,"Fair Lending Score attribute for regulatory, instance 26."
regulatory_audit_status_26,regulatory,"Audit Status attribute for regulatory, instance 26."
borrower_id_27,borrower,"Id attribute for borrower, instance 27."
borrower_first_name_27,borrower,"First Name attribute for borrower, instance 27."
borrower_last_name_27,borrower,"Last Name attribute for borrower, instance 27."
borrower_date_of_birth_27,borrower,"Date Of Birth attribute for borrower, instance 27."
borrower_ssn_27,borrower,"Ssn attribute for borrower, instance 27."
borrower_employment_status_27,borrower,"Employment Status attribute for borrower, instance 27."
borrower_annual_income_27,borrower,"Annual Income attribute for borrower, instance 27."
borrower_credit_score_27,borrower,"Credit Score attribute for borrower, instance 27."
borrower_marital_status_27,borrower,"Marital Status attribute for borrower, instance 27."
borrower_number_of_dependents_27,borrower,"Number Of Dependents attribute for borrower, instance 27."
borrower_residency_status_27,borrower,"Residency Status attribute for borrower, instance 27."
loan_id_27,loan,"Id attribute for loan, instance 27."
loan_type_27,loan,"Type attribute for loan, instance 27."
loan_amount_27,loan,"Amount attribute for loan, instance 27."
loan_term_years_27,loan,"Term Years attribute for loan, instance 27."
loan_interest_rate_27,loan,"Interest Rate attribute for loan, instance 27."
loan_origination_date_27,loan,"Origination Date attribute for loan, instance 27."
loan_maturity_date_27,loan,"Maturity Date attribute for loan, instance 27."
loan_status_27,loan,"Status attribute for loan, instance 27."
loan_ltv_ratio_27,loan,"Ltv Ratio attribute for loan, instance 27."
loan_dti_ratio_27,loan,"Dti Ratio attribute for loan, instance 27."
loan_amortization_type_27,loan,"Amortization Type attribute for loan, instance 27."
property_id_27,property,"Id attribute for property, instance 27."
property_address_line1_27,property,"Address Line1 attribute for property, instance 27."
property_address_line2_27,property,"Address Line2 attribute for property, instance 27."
property_city_27,property,"City attribute for property, instance 27."
property_state_27,property,"State attribute for property, instance 27."
property_postal_code_27,property,"Postal Code attribute for property, instance 27."
property_country_27,property,"Country attribute for property, instance 27."
property_property_type_27,property,"Property Type attribute for property, instance 27."
property_year_built_27,property,"Year Built attribute for property, instance 27."
property_purchase_price_27,property,"Purchase Price attribute for property, instance 27."
